Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
35,35014.0,Bruce--Grey--Owen Sound,41370,2008053000.0,43460,1531784000,Ontario,Bruce--Grey--Owen Sound,106475,82607,249,56333,99.6,212,0.4,56545,68.5,Conservative
35,35015.0,Burlington,46360,3460992000.0,52760,2569912000,Ontario,Burlington,120569,96126,269,70100,99.6,263,0.4,70363,73.2,Liberal
35,35016.0,Cambridge,47680,2724887000.0,50630,1899725000,Ontario,Cambridge,111693,83514,234,53339,99.6,227,0.4,53566,64.1,Liberal
35,35017.0,Chatham-Kent--Leamington,50630,2219953000.0,44920,1534157000,Ontario,Chatham-Kent--Leamington,111866,79755,263,51971,99.5,263,0.5,52234,65.5,Conservative
35,35018.0,Davenport,41030,1951277000.0,42880,1582426000,Ontario,Davenport,102360,74413,190,49584,99.4,287,0.6,49871,67.0,Liberal
35,35019.0,Don Valley East,34780,1730380000.0,40470,1533486000,Ontario,Don Valley East,93007,63547,174,41588,99.4,257,0.6,41845,65.8,Liberal
35,35020.0,Don Valley North,42540,2080450000.0,48770,1842608000,Ontario,Don Valley North,103073,72787,210,45687,99.4,259,0.6,45946,63.1,Liberal
35,35021.0,Don Valley West,36050,5025101000.0,41510,2994271000,Ontario,Don Valley West,99820,71037,184,51086,99.6,217,0.4,51303,72.2,Liberal
35,35022.0,Dufferin--Caledon,50360,3291500000.0,52330,2281596000,Ontario,Dufferin--Caledon,116341,92598,266,60451,99.6,232,0.4,60683,65.5,Conservative
35,35023.0,Durham,49020,3095750000.0,52360,2193708000,Ontario,Durham,115395,94069,280,64185,99.6,233,0.4,64418,68.5,Conservative
35,35024.0,Eglinton--Lawrence,40110,4183020000.0,49390,2979123000,Ontario,Eglinton--Lawrence,113150,78535,205,55792,99.4,328,0.6,56120,71.5,Liberal
35,35025.0,Elgin--Middlesex--London,44080,2361628000.0,46770,1755528000,Ontario,Elgin--Middlesex--London,110109,83446,217,56933,99.6,230,0.4,57163,68.5,Conservative
35,35026.0,Essex,50300,3295180000.0,51550,2215181000,Ontario,Essex,120477,92489,233,60531,99.6,241,0.4,60772,65.7,NDP
