,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
129,35121,Humber River--Black Creek,32.00%,33.00%,18.00%,17.00%,Ontario,Liberal
130,35040,Huron--Bruce,24.00%,31.00%,30.00%,16.00%,Ontario,Conservative
131,24031,Joliette,32.00%,31.00%,21.00%,16.00%,Quebec,Bloc QuÃ©bÃ©cois
132,24032,JonquiÃ¨re,24.00%,26.00%,31.00%,20.00%,Quebec,NDP
133,59013,Kamloops--Thompson--Cariboo,19.00%,39.00%,22.00%,20.00%,British Columba,Conservative
134,35041,Kanata--Carleton,11.00%,24.00%,25.00%,41.00%,Ontario,Liberal
135,59014,Kelowna--Lake Country,16.00%,36.00%,26.00%,22.00%,British Columba,Liberal
136,35042,Kenora,37.00%,28.00%,22.00%,13.00%,Ontario,Liberal
137,46006,Kildonan--St. Paul,18.00%,35.00%,22.00%,25.00%,Manitoba,Liberal
138,12007,Kings--Hants,22.00%,30.00%,28.00%,20.00%,Nova Scotia,Liberal
139,35044,Kingston and the Islands,14.00%,29.00%,26.00%,31.00%,Ontario,Liberal
140,35043,King--Vaughan,17.00%,28.00%,20.00%,35.00%,Ontario,Liberal
141,35045,Kitchener Centre,20.00%,31.00%,23.00%,26.00%,Ontario,Liberal
142,35047,Kitchener South--Hespeler,18.00%,32.00%,27.00%,23.00%,Ontario,Liberal
143,35046,Kitchener--Conestoga,22.00%,29.00%,24.00%,24.00%,Ontario,Conservative
144,59015,Kootenay--Columbia,18.00%,35.00%,27.00%,20.00%,British Columba,NDP
145,24033,La Pointe-de-l'ÃŽle,27.00%,30.00%,21.00%,22.00%,Quebec,Bloc QuÃ©bÃ©cois
146,24034,La Prairie,21.00%,28.00%,24.00%,27.00%,Quebec,Liberal
147,10004,Labrador,30.00%,26.00%,31.00%,13.00%,Newfoundland and Labrador,Liberal
148,24035,Lac-Saint-Jean,32.00%,26.00%,26.00%,16.00%,Quebec,Conservative
149,24036,Lac-Saint-Louis,11.00%,23.00%,23.00%,43.00%,Quebec,Liberal
150,48025,Lakeland,27.00%,34.00%,25.00%,14.00%,Alberta,Conservative
151,35048,Lambton--Kent--Middlesex,22.00%,32.00%,30.00%,15.00%,Ontario,Conservative
152,35049,Lanark--Frontenac--Kingston,18.00%,33.00%,32.00%,18.00%,Ontario,Conservative
153,59016,Langley--Aldergrove,17.00%,39.00%,22.00%,22.00%,British Columba,Conservative
154,24037,LaSalle--Ã‰mard--Verdun,20.00%,25.00%,20.00%,34.00%,Quebec,Liberal
155,24038,Laurentides--Labelle,29.00%,29.00%,22.00%,20.00%,Quebec,Liberal
156,24039,Laurier--Sainte-Marie,10.00%,17.00%,18.00%,56.00%,Quebec,NDP
